date, pm25, no2, so2, co
2018/12/8, 34, 33, 23, 28
2018/12/9, 50, 41, 23, 25
2018/12/10, 54, 41, 23, 32
2018/12/11, 72, , , 
2018/12/13, 95, 55, 29, 
2018/12/14, 119, 45, 22, 
2018/12/15, 92, 46, 30, 24
2018/12/16, 110, 50, 42, 40
2018/12/17, 126, 50, 43, 24
2018/12/18, 114, 31, 26, 26
2018/12/19, 69, 44, 29, 28
2018/12/20, 126, 38, 25, 19
2018/12/21, 68, 35, 22, 31
2018/12/22, 71, 33, 25, 33
2018/12/23, 85, 36, 28, 32
2018/12/24, 91, 46, 31, 20
2018/12/25, 87, 58, 28, 53
2018/12/26, 100, 55, 29, 47
2018/12/27, 132, 47, 29, 27
2018/12/28, 128, , , 
2018/12/30, 46, , , 
2018/8/18, 63, 49, 26, 60
2018/8/19, 76, 31, 25, 20
2018/8/20, 120, 29, 21, 28
2018/8/21, 98, 36, 23, 41
2018/8/22, 74, 27, 23, 21
2018/8/23, 64, 14, 22, 21
2018/8/24, 58, 50, 24, 45
2018/8/25, 71, 47, 25, 43
2018/8/26, 75, 38, 21, 61
2018/8/27, 60, 39, 22, 35
2018/8/28, 42, 62, 24, 72
2018/8/29, 28, 58, 30, 80
2018/8/30, 6, 46, 26, 38
2018/8/31, 5, 38, 23, 28
2018/9/2, 69, 27, 20, 20
2018/9/3, 58, 34, 22, 29
2018/9/4, 58, 45, 26, 30
2018/9/5, 69, 51, 28, 48
2018/9/6, 67, 57, 24, 50
2018/9/7, 71, 60, 24, 51
2018/9/8, 63, 72, 25, 58
2018/9/9, 69, 67, 25, 44
2018/9/10, 70, 62, 22, 78
2018/9/11, 70, 86, 27, 75
2018/9/12, 91, 79, 24, 31
2018/9/13, 85, 58, 24, 35
2018/9/14, 99, 54, 24, 43
2018/9/15, 85, 78, 25, 67
2018/9/16, 85, 79, 27, 76
2018/9/17, 95, 78, 24, 50
2018/9/18, 89, 55, 23, 40
2018/9/19, 106, 28, 24, 19
2018/9/20, 86, 39, 26, 14
2018/9/21, 63, 48, 31, 27
2018/9/22, 48, 21, 31, 30
2018/9/23, 55, 53, 27, 47
2018/9/24, 75, 47, 25, 20
2018/9/25, 67, 46, 27, 34
2018/9/26, 61, 79, 25, 31
2018/9/27, 70, 47, 25, 31
2018/9/28, 52, 40, 22, 22
2018/9/29, 44, 44, 25, 43
2018/9/30, 63, 55, 23, 46
2019/5/22, , , , 
2018/12/31, , , , 
2019/1/14, , , , 
2019/1/27, , , , 
2019/3/15, , , , 
2019/3/28, , , , 
2018/10/7, , 34, 25, 20
2018/10/8, , 39, 22, 24
2018/10/9, , 50, 22, 30
2018/10/12, , 36, 19, 20
2018/10/13, , 36, 30, 20
2018/10/14, , 41, 24, 22
2018/10/15, , 40, 27, 19
2018/10/16, , 35, 29, 16
2018/10/17, , 37, 28, 28
2018/10/18, , 41, 31, 35
2018/10/19, , 39, 32, 26
2018/10/21, , 39, 27, 47
2018/10/23, , 57, 24, 36
2018/11/25, , 27, 19, 19
2018/12/12, , 53, 33, 
2018/12/29, , 37, 28, 24
2018/8/17, , 42, 20, 
2018/9/1, , 31, 23, 25
2019/11/12, , , 29, 
2019/11/19, , , 30, 
2019/9/21, , , 23, 
